episode: 645, score: 0.0, epsilon: 0.05
episode: 650, score: 0.0, epsilon: 0.05
episode: 655, score: 100.0, epsilon: 0.05
episode: 660, score: 0.0, epsilon: 0.05
episode: 665, score: 0.0, epsilon: 0.05
episode: 670, score: 0.0, epsilon: 0.05
episode: 675, score: 100.0, epsilon: 0.05
episode: 680, score: 0.0, epsilon: 0.05
episode: 685, score: 0.0, epsilon: 0.05
episode: 690, score: 0.0, epsilon: 0.05
episode: 695, score: 0.0, epsilon: 0.05
marking, episode: 700, score: 100.0, mean_score: 25.00, std_score: 45.55
episode: 700, score: 100.0, epsilon: 0.04
episode: 705, score: 0.0, epsilon: 0.04
episode: 710, score: 0.0, epsilon: 0.04
episode: 715, score: 0.0, epsilon: 0.04
episode: 720, score: 0.0, epsilon: 0.04
episode: 725, score: 200.0, epsilon: 0.04
episode: 730, score: 0.0, epsilon: 0.04
episode: 735, score: 0.0, epsilon: 0.04
episode: 740, score: 0.0, epsilon: 0.04
episode: 745, score: 0.0, epsilon: 0.04
episode: 750, score: 0.0, epsilon: 0.04
episode: 755, score: 0.0, epsilon: 0.04
episode: 760, score: 0.0, epsilon: 0.04
episode: 765, score: 0.0, epsilon: 0.04
episode: 770, score: 0.0, epsilon: 0.04
episode: 775, score: 0.0, epsilon: 0.04
episode: 780, score: 100.0, epsilon: 0.04
episode: 785, score: 100.0, epsilon: 0.04
episode: 790, score: 0.0, epsilon: 0.04
episode: 795, score: 100.0, epsilon: 0.04
marking, episode: 800, score: 200.0, mean_score: 42.50, std_score: 77.90
episode: 800, score: 200.0, epsilon: 0.04
episode: 805, score: 0.0, epsilon: 0.04
episode: 810, score: 100.0, epsilon: 0.04
episode: 815, score: 0.0, epsilon: 0.04
episode: 820, score: 0.0, epsilon: 0.04
episode: 825, score: 0.0, epsilon: 0.04
episode: 830, score: 600.0, epsilon: 0.04
episode: 835, score: 200.0, epsilon: 0.04
episode: 840, score: 0.0, epsilon: 0.04
episode: 845, score: 600.0, epsilon: 0.04
episode: 850, score: 0.0, epsilon: 0.04
episode: 855, score: 0.0, epsilon: 0.04
episode: 860, score: 100.0, epsilon: 0.04
episode: 865, score: 0.0, epsilon: 0.04
episode: 870, score: 100.0, epsilon: 0.04
episode: 875, score: 100.0, epsilon: 0.04
episode: 880, score: 0.0, epsilon: 0.04
episode: 885, score: 100.0, epsilon: 0.04
episode: 890, score: 0.0, epsilon: 0.04
episode: 895, score: 0.0, epsilon: 0.04
marking, episode: 900, score: 0.0, mean_score: 70.50, std_score: 141.79
episode: 900, score: 0.0, epsilon: 0.04
episode: 905, score: 0.0, epsilon: 0.03
episode: 910, score: 0.0, epsilon: 0.03
episode: 915, score: 100.0, epsilon: 0.03
episode: 920, score: 0.0, epsilon: 0.03
episode: 925, score: 0.0, epsilon: 0.03
episode: 930, score: 0.0, epsilon: 0.03
episode: 935, score: 100.0, epsilon: 0.03
